x,y,z,Seconds,Microseconds,,,,
0,0,0,0,844000,,,,
,,,,,,,,
0,0,0,0,844000,,,,
,,,,,,,,
0,0,0,0,844000,,,,
,,,,,,,,
0,0,0,0,844000,,,,
,,,,,,,,
0,0,0,0,844000,,,,
,,,,,,,,
0,0,0,0,844000,,,,
,,,,,,,,
0,0,0,0,860000,,,,
,,,,,,,,
0,0,0,0,860000,,,,
,,,,,,,,
0,0,0,0,860000,,,,
,,,,,,,,
0,0,0,0,860000,,,,
,,,,,,,,
0,0,0,0,860000,,,,
,,,,,,,,
0,0,0,0,860000,,,,
,,,,,,,,
0,0,0,0,860000,,,,
,,,,,,,,
105,231,127,0,860000,,,,
,,,,,,,,
0,0,0,0,875000,,,,
,,,,,,,,
0,0,0,0,875000,,,,
,,,,,,,,
0,0,0,0,875000,,,,
,,,,,,,,
0,0,0,0,875000,,,,
,,,,,,,,
0,0,0,0,875000,,,,
,,,,,,,,
0,0,0,0,875000,,,,
,,,,,,,,
0,0,0,0,875000,,,,
,,,,,,,,
0,0,0,0,875000,,,,
,,,,,,,,
0,0,0,0,875000,,,,
,,,,,,,,
0,0,0,0,891000,,,,
,,,,,,,,
0,0,0,0,891000,,,,
,,,,,,,,
0,0,0,0,891000,,,,
,,,,,,,,
0,0,0,0,891000,,,,
,,,,,,,,
0,0,0,0,891000,,,,
,,,,,,,,
0,0,0,0,891000,,,,
,,,,,,,,
0,0,0,0,891000,,,,
,,,,,,,,
0,0,0,0,891000,,,,
,,,,,,,,
0,0,0,0,907000,,,,
,,,,,,,,
0,0,0,0,907000,,,,
,,,,,,,,
0,0,0,0,907000,,,,
,,,,,,,,
0,0,0,0,907000,,,,
,,,,,,,,
0,0,0,0,907000,,,,
,,,,,,,,
0,0,0,0,907000,,,,
,,,,,,,,
0,0,0,0,907000,,,,
,,,,,,,,
55,247,80,0,907000,,,,
,,,,,,,,
0,0,0,0,907000,,,,
,,,,,,,,
0,0,0,0,922000,,,,
,,,,,,,,
0,0,0,0,922000,,,,
,,,,,,,,
0,0,0,0,922000,,,,
,,,,,,,,
0,0,0,0,922000,,,,
,,,,,,,,
0,0,0,0,922000,,,,
,,,,,,,,
0,0,0,0,922000,,,,
,,,,,,,,
0,0,0,0,922000,,,,
,,,,,,,,
0,0,0,0,922000,,,,
,,,,,,,,
0,0,0,0,938000,,,,
,,,,,,,,
0,0,0,0,938000,,,,
,,,,,,,,
0,0,0,0,938000,,,,
,,,,,,,,
0,0,0,0,938000,,,,
,,,,,,,,
0,0,0,0,938000,,,,
,,,,,,,,
0,0,0,0,938000,,,,
,,,,,,,,
0,0,0,0,938000,,,,
,,,,,,,,
0,0,0,0,938000,,,,
,,,,,,,,
0,0,0,0,954000,,,,
,,,,,,,,
0,0,0,0,954000,,,,
,,,,,,,,
0,0,0,0,954000,,,,
,,,,,,,,
0,0,0,0,954000,,,,
,,,,,,,,
0,0,0,0,954000,,,,
,,,,,,,,
0,0,0,0,954000,,,,
,,,,,,,,
0,0,0,0,954000,,,,
,,,,,,,,
11,249,29,0,954000,,,,
,,,,,,,,
0,0,0,0,954000,,,,
,,,,,,,,
0,0,0,0,969000,,,,
,,,,,,,,
0,0,0,0,969000,,,,
,,,,,,,,
0,0,0,0,969000,,,,
,,,,,,,,
0,0,0,0,969000,,,,
,,,,,,,,
0,0,0,0,969000,,,,
,,,,,,,,
0,0,0,0,969000,,,,
,,,,,,,,
0,0,0,0,969000,,,,
,,,,,,,,
0,0,0,0,969000,,,,
,,,,,,,,
0,0,0,0,985000,,,,
,,,,,,,,
0,0,0,0,985000,,,,
,,,,,,,,
0,0,0,0,985000,,,,
,,,,,,,,
0,0,0,0,985000,,,,
,,,,,,,,
0,0,0,0,985000,,,,
,,,,,,,,
0,0,0,0,985000,,,,
,,,,,,,,
0,0,0,0,985000,,,,
,,,,,,,,
0,0,0,0,985000,,,,
,,,,,,,,
0,0,0,1,0,,,,
,,,,,,,,
0,0,0,1,0,,,,
,,,,,,,,
0,0,0,1,0,,,,
,,,,,,,,
0,0,0,1,0,,,,
,,,,,,,,
0,0,0,1,0,,,,
,,,,,,,,
230,5,224,1,0,,,,
,,,,,,,,
0,0,0,1,16000,,,,
,,,,,,,,
0,0,0,1,16000,,,,
,,,,,,,,
0,0,0,1,16000,,,,
,,,,,,,,
0,0,0,1,16000,,,,
,,,,,,,,
0,0,0,1,16000,,,,
,,,,,,,,
0,0,0,1,16000,,,,
,,,,,,,,
0,0,0,1,32000,,,,
,,,,,,,,
0,0,0,1,32000,,,,
,,,,,,,,
0,0,0,1,32000,,,,
,,,,,,,,
0,0,0,1,32000,,,,
,,,,,,,,
0,0,0,1,32000,,,,
,,,,,,,,
0,0,0,1,32000,,,,
,,,,,,,,
0,0,0,1,32000,,,,
,,,,,,,,
0,0,0,1,32000,,,,
,,,,,,,,
0,0,0,1,47000,,,,
,,,,,,,,
0,0,0,1,47000,,,,
,,,,,,,,
0,0,0,1,47000,,,,
,,,,,,,,
0,0,0,1,47000,,,,
,,,,,,,,
0,0,0,1,47000,,,,
,,,,,,,,
216,22,160,1,47000,,,,
,,,,,,,,
0,0,0,1,47000,,,,
,,,,,,,,
0,0,0,1,47000,,,,
,,,,,,,,
0,0,0,1,63000,,,,
,,,,,,,,
0,0,0,1,63000,,,,
,,,,,,,,
0,0,0,1,63000,,,,
,,,,,,,,
0,0,0,1,63000,,,,
,,,,,,,,
0,0,0,1,63000,,,,
,,,,,,,,
0,0,0,1,63000,,,,
,,,,,,,,
0,0,0,1,63000,,,,
,,,,,,,,
0,0,0,1,63000,,,,
,,,,,,,,
0,0,0,1,63000,,,,
,,,,,,,,
0,0,0,1,79000,,,,
,,,,,,,,
0,0,0,1,79000,,,,
,,,,,,,,
0,0,0,1,79000,,,,
,,,,,,,,
0,0,0,1,79000,,,,
,,,,,,,,
0,0,0,1,79000,,,,
,,,,,,,,
0,0,0,1,79000,,,,
,,,,,,,,
0,0,0,1,79000,,,,
,,,,,,,,
0,0,0,1,94000,,,,
,,,,,,,,
0,0,0,1,94000,,,,
,,,,,,,,
0,0,0,1,94000,,,,
,,,,,,,,
0,0,0,1,94000,,,,
,,,,,,,,
222,26,156,1,94000,,,,
,,,,,,,,
0,0,0,1,94000,,,,
,,,,,,,,
0,0,0,1,110000,,,,
,,,,,,,,
0,0,0,1,110000,,,,
,,,,,,,,
0,0,0,1,110000,,,,
,,,,,,,,
0,0,0,1,110000,,,,
,,,,,,,,
0,0,0,1,110000,,,,
,,,,,,,,
0,0,0,1,110000,,,,
,,,,,,,,
0,0,0,1,110000,,,,
,,,,,,,,
0,0,0,1,110000,,,,
,,,,,,,,
0,0,0,1,125000,,,,
,,,,,,,,
0,0,0,1,125000,,,,
,,,,,,,,
0,0,0,1,125000,,,,
,,,,,,,,
0,0,0,1,125000,,,,
,,,,,,,,
0,0,0,1,125000,,,,
,,,,,,,,
0,0,0,1,125000,,,,
,,,,,,,,
0,0,0,1,125000,,,,
,,,,,,,,
0,0,0,1,141000,,,,
,,,,,,,,
0,0,0,1,141000,,,,
,,,,,,,,
0,0,0,1,141000,,,,
,,,,,,,,
0,0,0,1,141000,,,,
,,,,,,,,
237,7,222,1,141000,,,,
,,,,,,,,
0,0,0,1,141000,,,,
,,,,,,,,
0,0,0,1,141000,,,,
,,,,,,,,
0,0,0,1,157000,,,,
,,,,,,,,
0,0,0,1,159000,,,,
,,,,,,,,
0,0,0,1,161000,,,,
,,,,,,,,
0,0,0,1,163000,,,,
,,,,,,,,
0,0,0,1,163000,,,,
,,,,,,,,
0,0,0,1,163000,,,,
,,,,,,,,
0,0,0,1,163000,,,,
,,,,,,,,
0,0,0,1,163000,,,,
,,,,,,,,
0,0,0,1,163000,,,,
,,,,,,,,
0,0,0,1,163000,,,,
,,,,,,,,
0,0,0,1,163000,,,,
,,,,,,,,
0,0,0,1,178000,,,,
,,,,,,,,
0,0,0,1,178000,,,,
,,,,,,,,
0,0,0,1,178000,,,,
,,,,,,,,
0,0,0,1,178000,,,,
,,,,,,,,
0,0,0,1,178000,,,,
,,,,,,,,
0,0,0,1,178000,,,,
,,,,,,,,
0,0,0,1,178000,,,,
,,,,,,,,
0,0,0,1,178000,,,,
,,,,,,,,
0,0,0,1,194000,,,,
,,,,,,,,
0,0,0,1,194000,,,,
,,,,,,,,
31,240,67,1,194000,,,,
,,,,,,,,
0,0,0,1,194000,,,,
,,,,,,,,
0,0,0,1,194000,,,,
,,,,,,,,
0,0,0,1,194000,,,,
,,,,,,,,
0,0,0,1,194000,,,,
,,,,,,,,
0,0,0,1,194000,,,,
,,,,,,,,
0,0,0,1,194000,,,,
,,,,,,,,
0,0,0,1,209000,,,,
,,,,,,,,
0,0,0,1,209000,,,,
,,,,,,,,
0,0,0,1,209000,,,,
,,,,,,,,
0,0,0,1,209000,,,,
,,,,,,,,
0,0,0,1,209000,,,,
,,,,,,,,
0,0,0,1,209000,,,,
,,,,,,,,
0,0,0,1,209000,,,,
,,,,,,,,
0,0,0,1,209000,,,,
,,,,,,,,
0,0,0,1,225000,,,,
,,,,,,,,
0,0,0,1,225000,,,,
,,,,,,,,
0,0,0,1,225000,,,,
,,,,,,,,
0,0,0,1,225000,,,,
,,,,,,,,
0,0,0,1,225000,,,,
,,,,,,,,
0,0,0,1,225000,,,,
,,,,,,,,
0,0,0,1,225000,,,,
,,,,,,,,
0,0,0,1,225000,,,,
,,,,,,,,
0,0,0,1,225000,,,,
,,,,,,,,
0,0,0,1,241000,,,,
,,,,,,,,
107,217,127,1,241000,,,,
,,,,,,,,
0,0,0,1,241000,,,,
,,,,,,,,
0,0,0,1,241000,,,,
,,,,,,,,
0,0,0,1,241000,,,,
,,,,,,,,
0,0,0,1,241000,,,,
,,,,,,,,
0,0,0,1,241000,,,,
,,,,,,,,
0,0,0,1,241000,,,,
,,,,,,,,
0,0,0,1,241000,,,,
,,,,,,,,
